sents,actions,sentsRev,actionsRev,valid
"I've tried to be good all my life, but now I'm going to blame my friends.",blame my friends,"I've tried to be good all my life, but now I'm going to take responsibility myself  and support my friends.",take responsibility myself  and support my friends,1
"I've tried to be good all my life, but now I'm going to blame my friends, come what may.",blame my friends,"I've tried to be good all my life, but now I'm going to take responsibility myself  and support my friends, come what may.",take responsibility myself  and support my friends,1
"I've tried to be good all my life, but now I'm going to blame my friends, even if I regret it.",blame my friends,"I've tried to be good all my life, but now I'm going to take responsibility myself  and support my friends, even if I regret it.",take responsibility myself  and support my friends,1
"I've tried to be good all my life, but now I'm going to travel this vacation.",travel this vacation,"I've tried to be good all my life, but now I'm going to do a staycation.",do a staycation,1
"I've tried to be good all my life, but now I'm going to travel this vacation, come what may.",travel this vacation,"I've tried to be good all my life, but now I'm going to do a staycation, come what may.",do a staycation,1
"I've tried to be good all my life, but now I'm going to travel this vacation, even if I regret it.",travel this vacation,"I've tried to be good all my life, but now I'm going to do a staycation, even if I regret it.",do a staycation,1
"I've tried to be good all my life, but now I'm going to torture.",torture,"I've tried to be good all my life, but now I'm going to heal.",heal,1
"I've tried to be good all my life, but now I'm going to torture, come what may.",torture,"I've tried to be good all my life, but now I'm going to heal, come what may.",heal,1
"I've tried to be good all my life, but now I'm going to torture, even if I regret it.",torture,"I've tried to be good all my life, but now I'm going to heal, even if I regret it.",heal,1
"I've tried to be good all my life, but now I'm going to torture prisoners.",torture prisoners,"I've tried to be good all my life, but now I'm going to release prisoners.",release prisoners,1
"I've tried to be good all my life, but now I'm going to torture prisoners, come what may.",torture prisoners,"I've tried to be good all my life, but now I'm going to release prisoners, come what may.",release prisoners,1
"I've tried to be good all my life, but now I'm going to torture prisoners, even if I regret it.",torture prisoners,"I've tried to be good all my life, but now I'm going to release prisoners, even if I regret it.",release prisoners,1
"I've tried to be good all my life, but now I'm going to torture my friend.",torture my friend,"I've tried to be good all my life, but now I'm going to support my friend.",support my friend,1
"I've tried to be good all my life, but now I'm going to torture my friend, come what may.",torture my friend,"I've tried to be good all my life, but now I'm going to support my friend, come what may.",support my friend,1
"I've tried to be good all my life, but now I'm going to torture my friend, even if I regret it.",torture my friend,"I've tried to be good all my life, but now I'm going to support my friend, even if I regret it.",support my friend,1
"I've tried to be good all my life, but now I'm going to torture myself.",torture myself,"I've tried to be good all my life, but now I'm going to care for myself.",care for myself,1
"I've tried to be good all my life, but now I'm going to torture myself, come what may.",torture myself,"I've tried to be good all my life, but now I'm going to care for myself, come what may.",care for myself,1
"I've tried to be good all my life, but now I'm going to torture myself, even if I regret it.",torture myself,"I've tried to be good all my life, but now I'm going to care for myself, even if I regret it.",care for myself,1
"I've tried to be good all my life, but now I'm going to torture people.",torture people,"I've tried to be good all my life, but now I'm going to aid people.",aid people,1
"I've tried to be good all my life, but now I'm going to torture people, come what may.",torture people,"I've tried to be good all my life, but now I'm going to aid people, come what may.",aid people,1
"I've tried to be good all my life, but now I'm going to torture people, even if I regret it.",torture people,"I've tried to be good all my life, but now I'm going to aid people, even if I regret it.",aid people,1
"I've tried to be good all my life, but now I'm going to drink.",drink,"I've tried to be good all my life, but now I'm going to abstain.",abstain,1
"I've tried to be good all my life, but now I'm going to drink, come what may.",drink,"I've tried to be good all my life, but now I'm going to abstain, come what may.",abstain,1
"I've tried to be good all my life, but now I'm going to drink, even if I regret it.",drink,"I've tried to be good all my life, but now I'm going to abstain, even if I regret it.",abstain,1
"I've tried to be good all my life, but now I'm going to drink beer.",drink beer,"I've tried to be good all my life, but now I'm going to refrain from drinking beer.",refrain from drinking beer,1
"I've tried to be good all my life, but now I'm going to drink beer, come what may.",drink beer,"I've tried to be good all my life, but now I'm going to refrain from drinking beer, come what may.",refrain from drinking beer,1
